"Test ID","Test Date","Tester","Area Tested","Testing Actions Performed","Expected Results","Actual Results","Pass/Fail","Comments","Bug Fixed On Date"
"TC-001","2026-04-23","Team Member Placeholder","Home","Built React app and captured Home page screenshot.","Home page renders with storefront navigation.","npm run build passed; screenshot capture included in deliverables.","Pass","Frontend shell and navigation verified.",""
"TC-002","2026-04-23","Team Member Placeholder","Sign Up / Shopper Create","POST /api/shoppers with a valid shopper payload.","Shopper is created in MongoDB shopper collection.","Shopper created during smoke test; Mongo shopper count is 1.","Pass","Frontend Sign Up page uses this endpoint.","2026-04-23"
"TC-003","2026-04-23","Team Member Placeholder","Sign Up / Duplicate Email","POST /api/shoppers twice with the same email.","Second request returns 409 conflict.","Duplicate email returned HTTP .","Pass","Protects shopper data integrity.","2026-04-23"
"TC-004","2026-04-23","Team Member Placeholder","Shopper Update/Delete","Created, updated, and deleted a temporary shopper.","Shopper can be modified and removed through REST endpoints.","Updated name was 'CRUD Shopper Updated' and delete returned True.","Pass","Covers shopper CRUD.","2026-04-23"
"TC-005","2026-04-23","Team Member Placeholder","Product Read","GET /api/products after MongoDB startup.","Seeded products are returned from MongoDB products collection.","Mongo products count is 4.","Pass","Initial seed comes from server/products.json when collection is empty.","2026-04-23"
"TC-006","2026-04-23","Team Member Placeholder","Product Create","POST /api/products with valid category, unit, and price.","New product receives an auto-generated productID.","Smoke product created as .","Pass","Admin Product Management uses this endpoint.","2026-04-23"
"TC-007","2026-04-23","Team Member Placeholder","Product Update/Delete","Created, updated, and deleted a temporary product.","Product can be edited and deleted through REST endpoints.","Updated description was 'CRUD Temp Product Updated' and delete returned True.","Pass","Covers product CRUD.","2026-04-23"
"TC-008","2026-04-23","Team Member Placeholder","Product Validation","POST /api/products with price 0.","API rejects price less than or equal to zero.","Invalid price returned HTTP 400.","Pass","Negative validation test.","2026-04-23"
"TC-009","2026-04-23","Team Member Placeholder","Product Validation","POST /api/products without category.","API rejects missing category/unit.","Missing category returned HTTP 400.","Pass","Negative validation test.","2026-04-23"
"TC-010","2026-04-23","Team Member Placeholder","Shopping Cart Create/Read","PUT then GET /api/shopping-cart/:cartSessionID.","Cart item snapshots are persisted and reloaded.","Cart write/read returned 1/1 item.","Pass","Storefront syncs cart changes to this endpoint.","2026-04-23"
"TC-011","2026-04-23","Team Member Placeholder","Shopping Cart Delete","DELETE /api/shopping-cart/:cartSessionID for a temporary cart.","Temporary cart is removed.","Delete returned True.","Pass","Covers cart CRUD cleanup.","2026-04-23"
"TC-012","2026-04-23","Team Member Placeholder","Checkout / Order Create","POST /api/orders with customer, shipping, billing, and cart data.","Order is stored as pending and shopper email is registered.","Smoke order created as .","Pass","Checkout page sends this same document shape.","2026-04-23"
"TC-013","2026-04-23","Team Member Placeholder","Order Status Update","PUT /api/orders/:id with status approved.","Order status changes from pending to approved.","Order status became .","Pass","Admin review buttons use this endpoint.","2026-04-23"
"TC-014","2026-04-23","Team Member Placeholder","Order Validation","POST /api/orders with an empty cart.","API rejects checkout without cart items.","Empty cart returned HTTP 400.","Pass","Negative end-to-end checkout case.","2026-04-23"
"TC-015","2026-04-23","Team Member Placeholder","Order Validation","PUT /api/orders/:id with invalid status maybe.","API rejects unsupported order status.","Invalid status returned HTTP 400.","Pass","Prevents bad approval values.","2026-04-23"
"TC-016","2026-04-23","Team Member Placeholder","Returns Create","POST /api/returns for an existing order/email.","Return request is saved with requested status.","Return request created as .","Pass","Returns page uses this endpoint.","2026-04-23"
"TC-017","2026-04-23","Team Member Placeholder","Returns Update","PUT /api/returns/:returnID with status resolved.","Return request status updates in MongoDB.","Return status became .","Pass","Admin Returns queue uses this endpoint.","2026-04-23"
"TC-018","2026-04-23","Team Member Placeholder","Returns Validation","POST /api/returns for a missing order ID.","API rejects return request for unknown order.","Unknown order returned HTTP 404.","Pass","Negative return data integrity case.","2026-04-23"
"TC-019","2026-04-23","Team Member Placeholder","Database Persistence","Queried MongoDB collection counts with mongosh.","All required collections contain persisted records.","Counts: shopper=1, products=4, carts=1, orders=1, returns=1.","Pass","Evidence saved in deliverables/evidence/api-smoke-results.json.","2026-04-23"
"TC-020","2026-04-23","Team Member Placeholder","Build / Integration","Ran node syntax check and Parcel production build.","Server parses and frontend build completes.","node --check server/server.js passed; npm run build passed.","Pass","Final verification repeated after deliverable generation.","2026-04-23"
